distance_remaining_km,current_speed_kmh,day_of_week,hour_of_day,actual_time_minutes
7.803532317523569,29.681776013872103,6,12,9.200390313249317
19.038928974993365,33.671782968751074,3,17,51.8958448348958
14.7738818653224,52.72736966010902,1,6,15.761730681794901
12.173840441842213,27.00021930299461,4,8,43.694132425648085
3.542363488627512,53.482484240608564,5,16,1.0
3.5418931465559518,14.406721548834575,2,11,11.799423156919413
1.6326304372798894,48.83992186043154,2,11,1.4119505429963088
17.390434842611235,52.377381652736815,2,12,23.225810425287087
12.221742728992572,19.090882641866937,6,16,27.985761541845072
14.307415267022886,31.51732661861002,5,19,35.971219357689364
0.9013976387681477,18.27498873318278,0,16,1.0
19.41324211715889,45.330206449710886,5,6,21.136359829267942
16.732631495608224,36.76738840308283,0,12,27.748670965516304
4.640612658226385,41.76616733541605,2,7,3.818737427048225
4.045586860538462,19.824348347810556,3,11,14.819757665597981
4.0763879421419595,20.587293102620976,3,18,15.838660767231818
6.432723737710986,12.074866275495317,0,13,35.11710446440046
10.732750416828639,26.103376759786485,2,18,33.12222308969538
8.922927863521258,37.98723306668374,5,10,20.912549165072498
6.178968233861817,52.89674569986644,3,15,8.800935347582964
12.4311314470864,43.346372372934034,0,8,33.35857618588868
3.2201302827148157,31.76981616998757,5,16,1.784449898286537
6.196820646436754,57.65600571970689,2,13,6.921722318069009
7.644055944226988,45.96226002879159,1,13,6.83685973354544
9.3933646922322,56.5082601431275,2,9,14.728936439490662
15.810931247163765,36.379398663608285,6,13,18.38770142358937
4.393638752088014,22.945213739656978,2,10,17.389761955013803
10.527571549065426,12.6413343182361,5,18,65.9977925105627
12.052084092809828,46.30424257419252,5,16,13.850066923640805
1.4057830480399556,16.065149900276708,4,10,9.941762171737569
12.347124612078048,25.138756413598358,4,8,55.130679683226695
3.8252204119021846,36.62354539419487,5,12,7.058256824682718
1.7685060632129506,38.22082938898738,5,16,5.628239199017127
19.003267976439997,40.0291598493568,1,19,46.32919439815153
19.32982464495391,18.31276651748503,1,16,62.24712151007726
16.263748288270993,28.98687024108244,2,14,28.81775384391653
6.439968498880728,40.85971135584833,6,14,6.780585435494662
2.4046062231244854,58.490943231689236,3,6,2.3955468354584246
13.842544016987059,46.381556884984434,6,6,15.194191394581795
9.082973627922225,56.130187854697894,1,15,8.647300936294828
2.879745579473187,48.11060291570885,2,17,6.202633683970243
10.15594974716977,39.58584844462003,6,17,24.354417261721427
1.1705761617467587,19.601168456817227,0,16,2.63603858167432
18.23174784053625,43.334282594625655,4,10,36.970532642360325
5.546209641200329,41.16897829799535,6,6,6.598288059733944
13.419184544902649,40.123458522863324,3,9,27.83419379007066
6.578365983743514,34.489293399412034,2,17,13.307344895950473
10.641326412967311,36.43283019946378,6,6,13.501456338639459
11.160850447193953,26.722126355905203,5,7,17.21211816810526
4.104661882747777,35.965634632115155,0,7,8.20474095862225
19.40690024140889,19.877795283923913,4,9,91.21248953818817
15.615090055541733,50.25871986801884,0,13,18.739623175509326
18.82022936050169,19.28884773493539,2,7,60.07331702808991
17.94913333333915,14.24831449447332,1,19,128.33061684044154
12.15904958681616,31.81230131785787,4,14,26.1652639763941
